from,to,open,close,min,max,volume
1725874440,1725874560,95.524195,95.499635,95.492625,95.535335,804
1725874560,1725874680,95.498635,95.537155,95.496145,95.553385,1016
1725874680,1725874800,95.536155,95.575215,95.534885,95.581285,1026
1725874800,1725874920,95.575715,95.551245,95.546775,95.587485,1028
1725874920,1725875040,95.550245,95.539605,95.537325,95.555275,720
1725875040,1725875160,95.540105,95.548315,95.504315,95.551245,967
1725875160,1725875280,95.549315,95.523565,95.522565,95.556115,958
1725875280,1725875400,95.524565,95.557465,95.522795,95.563425,722
1725875400,1725875520,95.556965,95.562525,95.552205,95.584145,723
1725875520,1725875640,95.563025,95.519325,95.518825,95.578155,936
1725875640,1725875760,95.518825,95.524085,95.510025,95.535075,807
1725875760,1725875880,95.524585,95.560145,95.522475,95.561565,840
1725875880,1725876000,95.560645,95.563265,95.532065,95.568665,1001
1725876000,1725876120,95.562765,95.585865,95.545735,95.586575,963
1725876120,1725876240,95.585365,95.593725,95.562915,95.599375,846
1725876240,1725876360,95.593705,95.591885,95.583095,95.620385,919
1725876360,1725876480,95.592385,95.587455,95.568285,95.595365,864
1725876480,1725876600,95.587955,95.588085,95.570555,95.607165,1050
1725876600,1725876720,95.587585,95.574795,95.574795,95.602235,811
1725876720,1725876840,95.574295,95.603105,95.548705,95.603105,849
1725876840,1725876960,95.603605,95.617415,95.594405,95.629185,852
1725876960,1725877080,95.616915,95.593345,95.578375,95.619025,703
1725877080,1725877200,95.593845,95.575785,95.562665,95.597605,671
1725877200,1725877320,95.575285,95.558185,95.554935,95.591715,675
1725877320,1725877440,95.559685,95.520955,95.506755,95.559685,805
1725877440,1725877560,95.520455,95.548595,95.518135,95.551985,830
1725877560,1725877680,95.549095,95.546065,95.521165,95.556875,706
1725877680,1725877800,95.546565,95.568255,95.540445,95.573295,874
1725877800,1725877920,95.567755,95.588645,95.567755,95.594105,862
1725877920,1725878040,95.588145,95.590985,95.565565,95.597365,779
1725878040,1725878160,95.589985,95.589735,95.574335,95.598895,770
1725878160,1725878280,95.589235,95.578765,95.568965,95.597655,966
1725878280,1725878400,95.578265,95.581615,95.570485,95.588485,759
1725878400,1725878520,95.581115,95.597395,95.575105,95.618255,734
1725878520,1725878640,95.597895,95.545695,95.542695,95.601225,823
1725878640,1725878760,95.545195,95.563735,95.542455,95.583255,895
1725878760,1725878880,95.564235,95.573555,95.554535,95.582735,837
1725878880,1725879000,95.574055,95.560665,95.551635,95.601345,859
1725879000,1725879120,95.560165,95.539345,95.538215,95.564675,648
1725879120,1725879240,95.540575,95.556455,95.531315,95.561445,722
1725879240,1725879360,95.555955,95.553685,95.542115,95.570145,699
1725879360,1725879480,95.554185,95.556995,95.542875,95.581995,850
1725879480,1725879600,95.556495,95.566295,95.553575,95.576955,922
1725879600,1725879720,95.565295,95.588025,95.562795,95.592695,833
1725879720,1725879840,95.588525,95.565055,95.563555,95.596975,670
1725879840,1725879960,95.563765,95.592375,95.557115,95.593375,629
1725879960,1725880080,95.592125,95.614785,95.587345,95.630455,699
1725880080,1725880200,95.614285,95.573155,95.555855,95.614285,1106
1725880200,1725880320,95.573655,95.606755,95.567265,95.611935,811
1725880320,1725880440,95.607165,95.607515,95.599165,95.621995,917
1725880440,1725880560,95.607735,95.624875,95.607735,95.631045,658
1725880560,1725880680,95.625375,95.609425,95.608455,95.630705,715
1725880680,1725880800,95.609925,95.634615,95.609925,95.648935,722
1725880800,1725880920,95.634115,95.637085,95.623615,95.647235,568
1725880920,1725881040,95.637085,95.683155,95.627265,95.684155,763
1725881040,1725881160,95.682455,95.682345,95.664675,95.685255,631
1725881160,1725881280,95.681845,95.676465,95.675965,95.707725,890
1725881280,1725881400,95.676965,95.699845,95.664825,95.704285,892
1725881400,1725881520,95.699955,95.681825,95.678525,95.707635,888
1725881520,1725881640,95.681325,95.647075,95.642965,95.688605,1036
1725881640,1725881760,95.648355,95.653105,95.620785,95.655605,963
1725881760,1725881880,95.652605,95.625825,95.612355,95.655605,914
1725881880,1725882000,95.625535,95.628985,95.610365,95.639735,839
1725882000,1725882120,95.628485,95.625855,95.612615,95.634215,653
1725882120,1725882240,95.625785,95.600545,95.593355,95.645715,922
1725882240,1725882360,95.599625,95.606345,95.590955,95.618145,768
1725882360,1725882480,95.607345,95.573575,95.570055,95.630375,1038
1725882480,1725882600,95.573415,95.581085,95.560795,95.591555,1005
1725882600,1725882720,95.580585,95.588915,95.573295,95.596635,912
1725882720,1725882840,95.589415,95.586695,95.577635,95.599305,723
1725882840,1725882960,95.585665,95.586215,95.564525,95.598235,655
1725882960,1725883080,95.586715,95.625895,95.572865,95.631245,939
1725883080,1725883200,95.625395,95.615115,95.610925,95.632425,865
1725883200,1725883320,95.614615,95.653385,95.593015,95.658045,1674
1725883320,1725883440,95.652885,95.615095,95.610015,95.656355,1187
1725883440,1725883560,95.614595,95.614235,95.603025,95.626635,934
1725883560,1725883680,95.614735,95.598065,95.587125,95.615875,972
1725883680,1725883800,95.597565,95.525035,95.520535,95.597565,1366
1725883800,1725883920,95.523785,95.475845,95.468965,95.524075,1248
1725883920,1725884040,95.476345,95.458665,95.441865,95.494345,1081
1725884040,1725884160,95.459165,95.455705,95.449875,95.478545,1114
1725884160,1725884280,95.456205,95.474375,95.454705,95.493015,746
1725884280,1725884400,95.475595,95.478225,95.464285,95.486545,906
1725884400,1725884520,95.477725,95.421025,95.418025,95.477725,1064
1725884520,1725884640,95.420525,95.381595,95.376075,95.431895,1060
1725884640,1725884760,95.382095,95.384065,95.379905,95.393215,734
1725884760,1725884880,95.384565,95.371165,95.361865,95.414455,1100
1725884880,1725885000,95.370665,95.326505,95.326005,95.370665,1338
1725885000,1725885120,95.327505,95.331165,95.311625,95.341145,1508
1725885120,1725885240,95.330665,95.324805,95.310065,95.351795,1539
1725885240,1725885360,95.325305,95.330605,95.316155,95.359615,1299
1725885360,1725885480,95.331105,95.283795,95.277645,95.331105,1342
1725885480,1725885600,95.284525,95.305615,95.281515,95.313325,952
1725885600,1725885720,95.305115,95.312845,95.256835,95.316565,1534
1725885720,1725885840,95.312345,95.305805,95.257415,95.328525,1527
1725885840,1725885960,95.305305,95.324775,95.296345,95.339735,1172
1725885960,1725886080,95.324275,95.297425,95.285565,95.327545,1174
1725886080,1725886200,95.297925,95.282945,95.278485,95.312435,814
1725886200,1725886320,95.283445,95.289195,95.259615,95.325285,1082
1725886320,1725886440,95.288695,95.292165,95.280355,95.309445,960
1725886440,1725886560,95.292025,95.305605,95.285275,95.318805,963
1725886560,1725886680,95.306105,95.282475,95.278555,95.309105,1073
1725886680,1725886800,95.281975,95.273885,95.270645,95.302705,1294
1725886800,1725886920,95.273385,95.252145,95.202185,95.276675,1761
1725886920,1725887040,95.252645,95.260945,95.249465,95.278055,1082
1725887040,1725887160,95.261445,95.246035,95.229375,95.269765,1251
1725887160,1725887280,95.245535,95.234555,95.203085,95.246035,1281
1725887280,1725887400,95.235055,95.197695,95.189495,95.242055,1529
1725887400,1725887520,95.197195,95.199665,95.188045,95.238515,1202
1725887520,1725887640,95.200165,95.189925,95.183425,95.224065,1288
1725887640,1725887760,95.189405,95.155935,95.155165,95.207145,1454
1725887760,1725887880,95.155435,95.150315,95.140685,95.172055,1094
1725887880,1725888000,95.150815,95.199035,95.145425,95.211225,1229
1725888000,1725888120,95.200035,95.202085,95.176115,95.210515,1151
1725888120,1725888240,95.201585,95.173725,95.167625,95.201585,1098
1725888240,1725888360,95.174225,95.172435,95.143395,95.188235,1096
1725888360,1725888480,95.172935,95.140555,95.121765,95.178975,1107
1725888480,1725888600,95.141055,95.144545,95.134375,95.161265,1168
1725888600,1725888720,95.144045,95.212175,95.120355,95.216175,2199
1725888720,1725888840,95.211675,95.253105,95.209175,95.284825,1827
1725888840,1725888960,95.254105,95.306295,95.253665,95.317485,1689
1725888960,1725889080,95.306795,95.261015,95.261015,95.330785,1584
1725889080,1725889200,95.261515,95.186115,95.185615,95.262515,1626
1725889200,1725889320,95.186615,95.103095,95.062055,95.197215,2396
1725889320,1725889440,95.103595,95.111885,95.080905,95.125765,1758
1725889440,1725889560,95.111385,95.056635,95.047045,95.127205,2200
1725889560,1725889680,95.056135,95.067285,95.025295,95.067535,2151
1725889680,1725889800,95.067785,95.095505,95.055205,95.122445,1883
1725889800,1725889920,95.095005,95.129305,95.081845,95.151425,2180
1725889920,1725890040,95.128805,95.143935,95.114165,95.157215,1723
1725890040,1725890160,95.143435,95.117845,95.103625,95.143435,1743
1725890160,1725890280,95.118345,95.103585,95.087635,95.135115,1655
1725890280,1725890400,95.103085,95.111825,95.101525,95.151625,1858
1725890400,1725890520,95.110825,95.114845,95.066535,95.134035,2354
1725890520,1725890640,95.114345,95.200365,95.108105,95.201365,1496
1725890640,1725890760,95.199865,95.177605,95.155305,95.219625,1799
1725890760,1725890880,95.177105,95.160435,95.141835,95.201245,1831
1725890880,1725891000,95.161085,95.174615,95.154495,95.201555,1420
1725891000,1725891120,95.175615,95.231915,95.175615,95.251935,1953
