from,to,open,close,min,max,volume
1725874440,1725874560,0.665935,0.665765,0.66575,0.666,309
1725874560,1725874680,0.665765,0.66571,0.66571,0.665895,378
1725874680,1725874800,0.66571,0.66582,0.665655,0.66583,331
1725874800,1725874920,0.66581,0.66575,0.665685,0.66586,365
1725874920,1725875040,0.66575,0.6658,0.66573,0.665875,239
1725875040,1725875160,0.66581,0.66592,0.66577,0.665985,297
1725875160,1725875280,0.665915,0.666,0.665895,0.66609,286
1725875280,1725875400,0.666005,0.66608,0.666,0.666105,303
1725875400,1725875520,0.666075,0.665945,0.665925,0.666105,269
1725875520,1725875640,0.665925,0.666035,0.665925,0.66614,274
1725875640,1725875760,0.666035,0.66608,0.66601,0.666105,272
1725875760,1725875880,0.666075,0.66602,0.666005,0.66615,299
1725875880,1725876000,0.666025,0.66599,0.665975,0.6661,313
1725876000,1725876120,0.666,0.66594,0.66585,0.666,339
1725876120,1725876240,0.665935,0.665865,0.66576,0.665955,296
1725876240,1725876360,0.665855,0.665695,0.665695,0.665885,327
1725876360,1725876480,0.6657,0.665645,0.665615,0.6657,276
1725876480,1725876600,0.665645,0.665595,0.66549,0.665675,334
1725876600,1725876720,0.665585,0.66566,0.665555,0.665695,300
1725876720,1725876840,0.665665,0.665575,0.665515,0.665665,284
1725876840,1725876960,0.66557,0.665605,0.66551,0.66569,331
1725876960,1725877080,0.66561,0.665535,0.665505,0.66564,269
1725877080,1725877200,0.665535,0.66532,0.66531,0.66555,332
1725877200,1725877320,0.66532,0.66526,0.66523,0.66532,266
1725877320,1725877440,0.66525,0.66517,0.66509,0.665285,348
1725877440,1725877560,0.66515,0.665245,0.665085,0.665245,283
1725877560,1725877680,0.665245,0.665065,0.665035,0.665245,274
1725877680,1725877800,0.665055,0.6651,0.665,0.6651,278
1725877800,1725877920,0.665095,0.66507,0.66499,0.665125,312
1725877920,1725878040,0.66508,0.66519,0.665005,0.665195,319
1725878040,1725878160,0.665185,0.66513,0.665075,0.6652,288
1725878160,1725878280,0.66514,0.66496,0.6649,0.665145,329
1725878280,1725878400,0.66497,0.664975,0.664925,0.665025,343
1725878400,1725878520,0.66498,0.664985,0.664945,0.66508,325
1725878520,1725878640,0.66499,0.664855,0.664805,0.66499,263
1725878640,1725878760,0.664875,0.665035,0.66486,0.665035,261
1725878760,1725878880,0.665025,0.664965,0.664955,0.665115,255
1725878880,1725879000,0.66497,0.665025,0.66497,0.6651,309
1725879000,1725879120,0.665025,0.664825,0.664775,0.665045,294
1725879120,1725879240,0.664815,0.66494,0.66481,0.664985,242
1725879240,1725879360,0.66494,0.66506,0.66494,0.665095,329
1725879360,1725879480,0.66506,0.66507,0.66504,0.66512,305
1725879480,1725879600,0.665075,0.665165,0.66506,0.66521,308
