from,to,open,close,min,max,volume
1725874440,1725874560,158.5835,158.558,158.5555,158.596,699
1725874560,1725874680,158.558,158.614,158.556,158.629,718
1725874680,1725874800,158.6145,158.6545,158.6025,158.663,735
1725874800,1725874920,158.654,158.668,158.6435,158.697,849
1725874920,1725875040,158.6685,158.665,158.647,158.686,627
1725875040,1725875160,158.665,158.6435,158.597,158.666,743
1725875160,1725875280,158.644,158.615,158.613,158.6545,727
1725875280,1725875400,158.619,158.647,158.5985,158.661,611
1725875400,1725875520,158.645,158.666,158.6295,158.676,593
1725875520,1725875640,158.6665,158.5695,158.5695,158.67,670
1725875640,1725875760,158.5685,158.57,158.561,158.5895,549
1725875760,1725875880,158.572,158.6365,158.571,158.6495,662
1725875880,1725876000,158.6395,158.6465,158.607,158.6555,896
1725876000,1725876120,158.6475,158.682,158.619,158.685,798
1725876120,1725876240,158.682,158.702,158.654,158.713,647
1725876240,1725876360,158.703,158.7005,158.678,158.732,760
1725876360,1725876480,158.7005,158.675,158.666,158.7015,663
1725876480,1725876600,158.673,158.6805,158.6585,158.706,679
1725876600,1725876720,158.681,158.6425,158.6365,158.701,686
1725876720,1725876840,158.643,158.692,158.625,158.6955,644
1725876840,1725876960,158.6915,158.718,158.689,158.7345,676
1725876960,1725877080,158.7185,158.675,158.664,158.725,607
1725877080,1725877200,158.676,158.67,158.6415,158.684,584
1725877200,1725877320,158.6695,158.639,158.636,158.7075,610
1725877320,1725877440,158.6385,158.604,158.5845,158.6405,699
1725877440,1725877560,158.604,158.644,158.6025,158.653,687
1725877560,1725877680,158.6445,158.638,158.6185,158.6445,621
1725877680,1725877800,158.6385,158.6815,158.638,158.685,792
1725877800,1725877920,158.683,158.6825,158.67,158.704,789
1725877920,1725878040,158.683,158.6735,158.6695,158.694,602
1725878040,1725878160,158.672,158.693,158.6555,158.696,599
1725878160,1725878280,158.692,158.6495,158.6325,158.697,771
1725878280,1725878400,158.6515,158.677,158.6475,158.69,628
1725878400,1725878520,158.678,158.6835,158.674,158.729,602
1725878520,1725878640,158.6825,158.6215,158.62,158.685,619
1725878640,1725878760,158.6225,158.641,158.622,158.683,641
1725878760,1725878880,158.642,158.679,158.6235,158.6925,823
1725878880,1725879000,158.679,158.6405,158.634,158.7215,673
1725879000,1725879120,158.641,158.6395,158.6205,158.651,596
1725879120,1725879240,158.6385,158.6415,158.6155,158.655,569
1725879240,1725879360,158.6415,158.6445,158.623,158.667,536
1725879360,1725879480,158.645,158.6515,158.6285,158.6835,684
1725879480,1725879600,158.6505,158.616,158.6095,158.667,771
1725879600,1725879720,158.615,158.655,158.61,158.6645,668
1725879720,1725879840,158.655,158.6265,158.6265,158.673,601
1725879840,1725879960,158.627,158.6625,158.611,158.6685,544
1725879960,1725880080,158.662,158.686,158.661,158.7125,714
1725880080,1725880200,158.6845,158.6155,158.5925,158.6855,858
1725880200,1725880320,158.6155,158.65,158.6055,158.6535,683
1725880320,1725880440,158.652,158.638,158.6215,158.6685,623
1725880440,1725880560,158.638,158.658,158.638,158.6785,588
1725880560,1725880680,158.6585,158.633,158.6275,158.661,559
1725880680,1725880800,158.633,158.652,158.6325,158.6885,466
1725880800,1725880920,158.652,158.635,158.6325,158.671,427
1725880920,1725881040,158.636,158.6945,158.622,158.697,601
1725881040,1725881160,158.6935,158.6875,158.6545,158.7045,472
1725881160,1725881280,158.686,158.691,158.679,158.723,617
1725881280,1725881400,158.687,158.7205,158.681,158.727,562
1725881400,1725881520,158.721,158.687,158.6805,158.7255,620
1725881520,1725881640,158.6875,158.64,158.635,158.6935,839
1725881640,1725881760,158.6405,158.6715,158.609,158.6715,649
1725881760,1725881880,158.671,158.637,158.6145,158.6755,660
1725881880,1725882000,158.637,158.6205,158.5925,158.637,590
1725882000,1725882120,158.6195,158.582,158.577,158.6195,486
1725882120,1725882240,158.583,158.55,158.5355,158.583,629
1725882240,1725882360,158.5505,158.5625,158.534,158.5735,665
1725882360,1725882480,158.562,158.506,158.505,158.606,789
1725882480,1725882600,158.5055,158.522,158.4815,158.525,660
1725882600,1725882720,158.5215,158.5365,158.5185,158.5475,627
1725882720,1725882840,158.536,158.552,158.532,158.5605,554
1725882840,1725882960,158.5515,158.573,158.532,158.5795,626
1725882960,1725883080,158.5735,158.6105,158.559,158.6225,763
1725883080,1725883200,158.6115,158.616,158.5885,158.628,746
1725883200,1725883320,158.6145,158.6725,158.5595,158.681,1102
1725883320,1725883440,158.671,158.6485,158.629,158.674,783
1725883440,1725883560,158.6485,158.665,158.646,158.674,659
1725883560,1725883680,158.667,158.6545,158.6235,158.667,632
1725883680,1725883800,158.6545,158.5275,158.5185,158.6555,829
1725883800,1725883920,158.527,158.4515,158.434,158.5285,950
1725883920,1725884040,158.452,158.4155,158.3925,158.4545,815
1725884040,1725884160,158.417,158.41,158.4015,158.442,731
1725884160,1725884280,158.409,158.386,158.378,158.4305,623
1725884280,1725884400,158.385,158.4055,158.3805,158.417,797
1725884400,1725884520,158.403,158.3705,158.3605,158.4305,781
1725884520,1725884640,158.371,158.3005,158.295,158.3855,751
1725884640,1725884760,158.3015,158.324,158.2995,158.3245,564
1725884760,1725884880,158.324,158.2885,158.274,158.35,664
1725884880,1725885000,158.284,158.2465,158.241,158.284,823
1725885000,1725885120,158.246,158.1855,158.175,158.256,998
1725885120,1725885240,158.184,158.1855,158.1585,158.2185,993
1725885240,1725885360,158.1855,158.228,158.185,158.238,870
1725885360,1725885480,158.228,158.177,158.1545,158.234,724
1725885480,1725885600,158.177,158.1775,158.167,158.193,642
1725885600,1725885720,158.176,158.171,158.0925,158.189,824
1725885720,1725885840,158.1705,158.1635,158.0995,158.191,792
1725885840,1725885960,158.161,158.207,158.15,158.2165,683
1725885960,1725886080,158.2075,158.1715,158.1485,158.2085,773
1725886080,1725886200,158.172,158.132,158.13,158.173,617
1725886200,1725886320,158.132,158.1455,158.091,158.187,835
1725886320,1725886440,158.145,158.168,158.123,158.193,669
1725886440,1725886560,158.1685,158.17,158.1515,158.202,621
1725886560,1725886680,158.1695,158.1175,158.1165,158.173,596
1725886680,1725886800,158.117,158.126,158.113,158.1545,828
1725886800,1725886920,158.1265,158.08,158.0245,158.1295,952
1725886920,1725887040,158.08,158.111,158.0795,158.134,736
1725887040,1725887160,158.1105,158.0745,158.048,158.118,762
1725887160,1725887280,158.075,158.084,158.0385,158.085,822
1725887280,1725887400,158.084,158.036,158.018,158.1035,891
1725887400,1725887520,158.035,158.021,158.0105,158.0705,790
1725887520,1725887640,158.0215,158.006,157.9885,158.052,777
1725887640,1725887760,158.0075,157.9695,157.9525,158.0175,898
1725887760,1725887880,157.971,157.9745,157.9495,157.996,761
1725887880,1725888000,157.974,158.027,157.966,158.0365,812
1725888000,1725888120,158.0275,158.015,157.982,158.047,759
1725888120,1725888240,158.0135,157.9525,157.9455,158.0135,679
1725888240,1725888360,157.952,157.954,157.9265,157.985,697
1725888360,1725888480,157.9535,157.8895,157.866,157.9625,776
1725888480,1725888600,157.894,157.898,157.881,157.922,872
1725888600,1725888720,157.8995,157.977,157.87,157.987,1168
1725888720,1725888840,157.9765,158.029,157.9755,158.041,1113
1725888840,1725888960,158.032,158.067,158.019,158.0775,1059
1725888960,1725889080,158.067,158.011,158.01,158.097,893
1725889080,1725889200,158.012,157.914,157.912,158.019,1067
1725889200,1725889320,157.9145,157.783,157.7175,157.925,1243
1725889320,1725889440,157.7825,157.7745,157.74,157.7945,966
1725889440,1725889560,157.7735,157.692,157.676,157.7975,1129
1725889560,1725889680,157.69,157.7105,157.67,157.714,1102
1725889680,1725889800,157.7115,157.746,157.697,157.7855,1046
1725889800,1725889920,157.743,157.8035,157.7245,157.832,1117
1725889920,1725890040,157.804,157.801,157.7795,157.8215,1092
1725890040,1725890160,157.797,157.7625,157.7425,157.8045,1003
1725890160,1725890280,157.7645,157.7335,157.7145,157.797,1090
1725890280,1725890400,157.7345,157.747,157.7345,157.8215,1234
1725890400,1725890520,157.7445,157.696,157.653,157.75,1137
1725890520,1725890640,157.6955,157.7915,157.687,157.7935,920
1725890640,1725890760,157.791,157.7615,157.7455,157.832,1240
1725890760,1725890880,157.7605,157.735,157.7135,157.7905,934
1725890880,1725891000,157.7365,157.7375,157.715,157.777,836
1725891000,1725891120,157.738,157.796,157.738,157.8485,1000
1725891120,1725891240,157.7955,157.771,157.748,157.8025,923
1725891240,1725891360,157.772,157.734,157.732,157.773,772
1725891360,1725891480,157.7335,157.751,157.6935,157.7515,803
1725891480,1725891600,157.7515,157.708,157.682,157.754,1054
1725891600,1725891720,157.7095,157.7345,157.695,157.752,1040
1725891720,1725891840,157.7335,157.686,157.6615,157.736,1044
1725891840,1725891960,157.6885,157.676,157.646,157.7105,1143
1725891960,1725892080,157.678,157.656,157.618,157.6875,1002
1725892080,1725892200,157.655,157.6025,157.595,157.687,906
1725892200,1725892320,157.5995,157.528,157.501,157.606,1029
1725892320,1725892440,157.5285,157.5415,157.514,157.596,801
1725892440,1725892560,157.541,157.4935,157.4935,157.5635,814
1725892560,1725892680,157.4945,157.59,157.4785,157.6085,1054
1725892680,1725892800,157.591,157.591,157.556,157.6025,1018
1725892800,1725892920,157.59,157.613,157.5725,157.6175,841
1725892920,1725893040,157.613,157.5995,157.5995,157.673,905
1725893040,1725893160,157.6,157.6135,157.579,157.6245,924
1725893160,1725893280,157.614,157.5735,157.571,157.666,1193
1725893280,1725893400,157.573,157.5825,157.5435,157.586,998
1725893400,1725893520,157.583,157.587,157.566,157.6075,1203
1725893520,1725893640,157.586,157.621,157.561,157.624,1149
1725893640,1725893760,157.6205,157.6425,157.6075,157.6705,1051
1725893760,1725893880,157.6425,157.681,157.625,157.6895,1031
1725893880,1725894000,157.679,157.6135,157.5915,157.679,1189
1725894000,1725894120,157.6135,157.615,157.587,157.656,1355
1725894120,1725894240,157.6135,157.733,157.613,157.751,1279
1725894240,1725894360,157.733,157.7275,157.721,157.7525,1068
1725894360,1725894480,157.728,157.7775,157.711,157.78,787
1725894480,1725894600,157.777,157.7635,157.762,157.8035,792
1725894600,1725894720,157.764,157.6915,157.682,157.7665,979
