from,to,open,close,min,max,volume
1725874440,1725874560,1.10554,1.10543,1.10537,1.10555,426
1725874560,1725874680,1.105425,1.10526,1.10526,1.105445,427
1725874680,1725874800,1.10526,1.10518,1.105155,1.10526,402
1725874800,1725874920,1.10519,1.10558,1.105105,1.10559,541
1725874920,1725875040,1.105575,1.10575,1.105545,1.10581,441
1725875040,1725875160,1.10575,1.10567,1.10562,1.10591,509
1725875160,1725875280,1.105675,1.105825,1.105625,1.10589,393
1725875280,1725875400,1.105845,1.10583,1.105775,1.105925,400
1725875400,1725875520,1.105805,1.1057,1.10558,1.105805,331
1725875520,1725875640,1.1057,1.105715,1.105665,1.105825,412
1725875640,1725875760,1.105715,1.10569,1.10567,1.10578,402
1725875760,1725875880,1.10568,1.1057,1.10567,1.105815,410
1725875880,1725876000,1.105705,1.105625,1.10562,1.10579,566
1725876000,1725876120,1.10563,1.105525,1.10548,1.105685,464
1725876120,1725876240,1.10552,1.105385,1.105345,1.10552,362
1725876240,1725876360,1.105375,1.10516,1.10516,1.105415,359
1725876360,1725876480,1.10516,1.10495,1.10494,1.10516,391
1725876480,1725876600,1.104935,1.10491,1.104765,1.10498,478
1725876600,1725876720,1.10491,1.10487,1.104795,1.10491,396
1725876720,1725876840,1.104865,1.10485,1.10485,1.10499,364
1725876840,1725876960,1.10485,1.10492,1.10474,1.10493,357
1725876960,1725877080,1.104935,1.104695,1.10469,1.104955,336
1725877080,1725877200,1.104695,1.104605,1.10455,1.10476,350
1725877200,1725877320,1.104605,1.104405,1.104365,1.10464,335
1725877320,1725877440,1.104405,1.10449,1.104345,1.10451,452
1725877440,1725877560,1.104485,1.104485,1.104425,1.10454,378
1725877560,1725877680,1.10449,1.104195,1.104195,1.104495,423
1725877680,1725877800,1.1042,1.10424,1.10418,1.104275,400
1725877800,1725877920,1.104235,1.104125,1.104095,1.10424,466
1725877920,1725878040,1.10412,1.10413,1.104095,1.104155,413
1725878040,1725878160,1.104125,1.104115,1.104075,1.104145,269
1725878160,1725878280,1.104115,1.103795,1.103685,1.10413,415
1725878280,1725878400,1.1038,1.103985,1.10379,1.104025,411
1725878400,1725878520,1.104005,1.103835,1.10381,1.104025,383
1725878520,1725878640,1.10383,1.10373,1.10371,1.103835,491
1725878640,1725878760,1.10373,1.10403,1.10373,1.10405,449
1725878760,1725878880,1.104035,1.104025,1.10397,1.104205,504
1725878880,1725879000,1.104015,1.104015,1.103985,1.104145,363
1725879000,1725879120,1.104015,1.10383,1.103815,1.104055,364
1725879120,1725879240,1.103825,1.103945,1.103825,1.10399,409
1725879240,1725879360,1.103935,1.104185,1.10392,1.104185,426
1725879360,1725879480,1.10419,1.10419,1.10416,1.10426,382
1725879480,1725879600,1.10418,1.10402,1.104005,1.104215,471
1725879600,1725879720,1.104015,1.104175,1.10401,1.10421,394
1725879720,1725879840,1.10418,1.10415,1.10415,1.10424,381
1725879840,1725879960,1.104155,1.104225,1.10415,1.104235,327
1725879960,1725880080,1.104225,1.10426,1.10418,1.104295,357
1725880080,1725880200,1.104255,1.10442,1.10424,1.104475,395
1725880200,1725880320,1.10442,1.10443,1.104365,1.10445,380
1725880320,1725880440,1.104435,1.10449,1.10437,1.104515,329
1725880440,1725880560,1.104495,1.104325,1.104255,1.10451,363
1725880560,1725880680,1.104315,1.104365,1.104315,1.10445,287
1725880680,1725880800,1.10437,1.104265,1.104255,1.1044,356
1725880800,1725880920,1.104265,1.104095,1.10407,1.104265,322
1725880920,1725881040,1.104095,1.10405,1.103965,1.104135,283
1725881040,1725881160,1.104045,1.10394,1.103905,1.10415,302
1725881160,1725881280,1.103945,1.103865,1.103855,1.10396,433
1725881280,1725881400,1.103865,1.10383,1.10379,1.1039,318
1725881400,1725881520,1.10384,1.103735,1.10357,1.10387,325
1725881520,1725881640,1.103735,1.103895,1.103725,1.103975,463
1725881640,1725881760,1.10389,1.10409,1.10387,1.10409,268
1725881760,1725881880,1.1041,1.10427,1.104075,1.10429,380
1725881880,1725882000,1.10428,1.1043,1.10426,1.104365,352
1725882000,1725882120,1.104315,1.104195,1.104195,1.10433,377
1725882120,1725882240,1.104195,1.10419,1.10406,1.10425,323
1725882240,1725882360,1.104195,1.1042,1.104135,1.10427,339
1725882360,1725882480,1.104195,1.10412,1.10408,1.10424,367
1725882480,1725882600,1.10412,1.1042,1.104005,1.10422,390
1725882600,1725882720,1.104205,1.10437,1.1042,1.104375,401
1725882720,1725882840,1.104365,1.10437,1.10425,1.10439,396
1725882840,1725882960,1.10436,1.104335,1.10423,1.104365,504
1725882960,1725883080,1.104335,1.104355,1.104245,1.10444,488
1725883080,1725883200,1.104355,1.104495,1.104315,1.104505,546
1725883200,1725883320,1.104475,1.10433,1.104215,1.10448,592
1725883320,1725883440,1.104295,1.10425,1.104135,1.104295,515
1725883440,1725883560,1.104255,1.104315,1.104185,1.104345,498
1725883560,1725883680,1.10431,1.10437,1.104255,1.104415,425
1725883680,1725883800,1.10437,1.1043,1.10424,1.104415,573
1725883800,1725883920,1.104305,1.104195,1.10417,1.104365,534
1725883920,1725884040,1.1042,1.10409,1.10403,1.10423,552
1725884040,1725884160,1.104085,1.104385,1.104085,1.104425,459
1725884160,1725884280,1.104385,1.104285,1.10426,1.1044,398
1725884280,1725884400,1.10429,1.10413,1.10411,1.104345,347
1725884400,1725884520,1.104135,1.104295,1.10408,1.104325,397
1725884520,1725884640,1.104285,1.10408,1.104075,1.1043,562
1725884640,1725884760,1.104075,1.10422,1.10407,1.10422,372
1725884760,1725884880,1.10421,1.104185,1.10403,1.10423,497
1725884880,1725885000,1.104185,1.10422,1.104095,1.104365,536
1725885000,1725885120,1.10423,1.10438,1.10417,1.104395,531
1725885120,1725885240,1.104375,1.1048,1.104355,1.10481,797
1725885240,1725885360,1.104795,1.104755,1.104685,1.104865,747
1725885360,1725885480,1.104745,1.10472,1.104675,1.104825,530
1725885480,1725885600,1.10472,1.104645,1.104595,1.104795,467
1725885600,1725885720,1.10464,1.10478,1.104625,1.10492,548
1725885720,1725885840,1.104785,1.104595,1.10458,1.10482,445
1725885840,1725885960,1.104595,1.104495,1.104475,1.10463,478
1725885960,1725886080,1.104495,1.104265,1.10425,1.104535,517
1725886080,1725886200,1.10427,1.104195,1.10417,1.104305,565
1725886200,1725886320,1.10419,1.1044,1.10416,1.1044,555
1725886320,1725886440,1.1044,1.104425,1.104365,1.104485,582
1725886440,1725886560,1.104425,1.104435,1.104335,1.10451,418
1725886560,1725886680,1.10443,1.10417,1.10417,1.104515,413
1725886680,1725886800,1.104175,1.10398,1.103795,1.104175,559
1725886800,1725886920,1.10398,1.104095,1.103975,1.10418,582
1725886920,1725887040,1.1041,1.104335,1.104005,1.10435,495
1725887040,1725887160,1.104335,1.1043,1.1042,1.104345,503
1725887160,1725887280,1.104305,1.10461,1.10429,1.10462,452
1725887280,1725887400,1.10461,1.104905,1.10458,1.104915,481
1725887400,1725887520,1.1049,1.10479,1.104675,1.104905,464
1725887520,1725887640,1.10479,1.10505,1.10477,1.10505,460
1725887640,1725887760,1.10505,1.105085,1.1049,1.105095,527
