from,to,open,close,min,max,volume
1725874560,1725874680,187.861,187.9305,187.8545,187.9645,593
1725874680,1725874800,187.932,187.9935,187.9245,187.9985,580
1725874800,1725874920,187.9935,187.989,187.972,188.012,611
1725874920,1725875040,187.9895,187.9285,187.9235,187.9955,513
1725875040,1725875160,187.9305,187.845,187.79,187.9305,686
1725875160,1725875280,187.8445,187.818,187.8065,187.85,627
1725875280,1725875400,187.816,187.862,187.8055,187.866,498
1725875400,1725875520,187.8615,187.861,187.8255,187.879,533
1725875520,1725875640,187.862,187.7435,187.7435,187.875,544
1725875640,1725875760,187.7405,187.751,187.7305,187.774,519
1725875760,1725875880,187.7505,187.8305,187.748,187.8425,605
1725875880,1725876000,187.8295,187.822,187.7705,187.8365,764
1725876000,1725876120,187.8215,187.8695,187.784,187.8695,706
1725876120,1725876240,187.8705,187.909,187.8515,187.914,595
1725876240,1725876360,187.9085,187.9195,187.8975,187.948,655
1725876360,1725876480,187.92,187.894,187.872,187.92,638
1725876480,1725876600,187.8925,187.919,187.8765,187.9445,674
1725876600,1725876720,187.9195,187.8805,187.8805,187.952,535
1725876720,1725876840,187.8795,187.9385,187.8585,187.9405,533
1725876840,1725876960,187.9405,187.9385,187.9275,187.964,588
1725876960,1725877080,187.9395,187.8945,187.877,187.95,554
1725877080,1725877200,187.8955,187.867,187.8405,187.9035,493
1725877200,1725877320,187.8665,187.864,187.859,187.9265,532
1725877320,1725877440,187.8645,187.7955,187.792,187.88,585
1725877440,1725877560,187.7965,187.8425,187.7905,187.8655,636
1725877560,1725877680,187.8435,187.8385,187.81,187.854,595
1725877680,1725877800,187.84,187.8965,187.84,187.8995,686
1725877800,1725877920,187.8985,187.8785,187.87,187.9225,579
1725877920,1725878040,187.8795,187.9015,187.8635,187.9085,505
1725878040,1725878160,187.902,187.9415,187.892,187.944,542
1725878160,1725878280,187.9415,187.9175,187.9005,187.9415,634
1725878280,1725878400,187.9185,187.9275,187.9085,187.948,615
1725878400,1725878520,187.931,187.983,187.9245,188.011,503
1725878520,1725878640,187.9835,187.913,187.908,187.984,490
1725878640,1725878760,187.911,187.9475,187.9065,187.9755,613
1725878760,1725878880,187.9485,187.9665,187.918,187.973,633
1725878880,1725879000,187.9645,187.9325,187.9235,188.0115,559
1725879000,1725879120,187.9315,187.9405,187.915,187.9555,525
1725879120,1725879240,187.9405,187.952,187.9035,187.959,526
1725879240,1725879360,187.9515,187.9265,187.9165,187.959,519
1725879360,1725879480,187.9275,187.939,187.9065,187.964,585
1725879480,1725879600,187.94,187.9135,187.9005,187.951,729
1725879600,1725879720,187.9155,187.9335,187.908,187.9785,637
1725879720,1725879840,187.934,187.906,187.904,187.9655,582
1725879840,1725879960,187.905,187.954,187.8805,187.959,497
1725879960,1725880080,187.955,188.012,187.948,188.023,583
1725880080,1725880200,188.0125,187.937,187.9005,188.016,768
