from,to,open,close,min,max,volume
1725874560,1725874680,1.35634,1.356335,1.35628,1.35638,299
1725874680,1725874800,1.356335,1.356345,1.356315,1.3564,348
1725874800,1725874920,1.35635,1.35644,1.356235,1.356455,381
1725874920,1725875040,1.35644,1.35642,1.35632,1.35645,368
1725875040,1725875160,1.35641,1.35652,1.35639,1.35657,467
1725875160,1725875280,1.356525,1.35648,1.356425,1.356565,403
1725875280,1725875400,1.356485,1.35641,1.35639,1.356525,310
1725875400,1725875520,1.3564,1.35656,1.3564,1.356575,320
1725875520,1725875640,1.35655,1.35652,1.356375,1.35657,341
1725875640,1725875760,1.35652,1.35635,1.356335,1.35653,307
1725875760,1725875880,1.35634,1.35635,1.35627,1.35639,326
1725875880,1725876000,1.35636,1.356415,1.356335,1.356415,413
1725876000,1725876120,1.356425,1.356565,1.356425,1.356605,401
1725876120,1725876240,1.356555,1.35634,1.356335,1.356635,436
1725876240,1725876360,1.35635,1.356475,1.356325,1.356495,344
1725876360,1725876480,1.356475,1.35648,1.356455,1.356535,377
1725876480,1725876600,1.356485,1.356365,1.356325,1.35658,411
1725876600,1725876720,1.356375,1.356235,1.35623,1.356415,437
1725876720,1725876840,1.35623,1.356315,1.356225,1.35638,447
1725876840,1725876960,1.35632,1.35632,1.356225,1.35637,392
1725876960,1725877080,1.356325,1.3565,1.356315,1.3565,423
1725877080,1725877200,1.356495,1.35652,1.356425,1.356605,443
1725877200,1725877320,1.356525,1.356705,1.356515,1.35674,347
1725877320,1725877440,1.3567,1.356835,1.356695,1.35689,327
1725877440,1725877560,1.356835,1.35687,1.3568,1.35695,307
1725877560,1725877680,1.356865,1.356925,1.35685,1.356955,315
1725877680,1725877800,1.356925,1.35694,1.356925,1.357045,445
1725877800,1725877920,1.356935,1.356865,1.35684,1.356995,415
1725877920,1725878040,1.356855,1.356805,1.3568,1.356935,360
1725878040,1725878160,1.35682,1.356875,1.356775,1.35691,417
1725878160,1725878280,1.35687,1.357,1.35686,1.357085,314
1725878280,1725878400,1.35702,1.356835,1.3568,1.35702,403
1725878400,1725878520,1.35682,1.35694,1.356805,1.35695,306
1725878520,1725878640,1.35695,1.356935,1.356925,1.35706,278
1725878640,1725878760,1.356935,1.35671,1.35671,1.356945,368
1725878760,1725878880,1.356715,1.356825,1.356655,1.35683,377
1725878880,1725879000,1.356815,1.35668,1.356625,1.35682,300
1725879000,1725879120,1.35668,1.356785,1.356665,1.35682,309
1725879120,1725879240,1.356795,1.35676,1.35676,1.35685,336
1725879240,1725879360,1.35676,1.356645,1.356615,1.35678,381
1725879360,1725879480,1.35664,1.356635,1.356575,1.35667,403
1725879480,1725879600,1.35664,1.356645,1.356595,1.356675,471
1725879600,1725879720,1.356645,1.35652,1.35651,1.356655,488
1725879720,1725879840,1.35652,1.35655,1.356425,1.356575,318
1725879840,1725879960,1.35654,1.35653,1.356485,1.35657,372
1725879960,1725880080,1.35652,1.356335,1.35629,1.356545,384
1725880080,1725880200,1.35634,1.356325,1.35625,1.35636,411
1725880200,1725880320,1.356325,1.35622,1.356215,1.356355,303
1725880320,1725880440,1.35621,1.35605,1.356045,1.35627,337
1725880440,1725880560,1.356045,1.356315,1.35602,1.35636,362
1725880560,1725880680,1.356315,1.35616,1.356125,1.35637,369
1725880680,1725880800,1.356155,1.35618,1.356015,1.356185,307
1725880800,1725880920,1.356185,1.35619,1.356115,1.3562,250
1725880920,1725881040,1.35619,1.356045,1.356035,1.356195,247
1725881040,1725881160,1.356035,1.35605,1.355985,1.3561,264
1725881160,1725881280,1.35603,1.35608,1.35598,1.35611,275
1725881280,1725881400,1.35607,1.35606,1.356005,1.35616,317
1725881400,1725881520,1.35606,1.35636,1.35604,1.35645,369
1725881520,1725881640,1.35637,1.35622,1.356165,1.35637,458
1725881640,1725881760,1.356225,1.356105,1.356105,1.356295,441
